Article title: Plant's contributions to people shift with glacier retreat;;;;;;;;;;;;;;;;;;;
Authors: Nora Khelidj, Simone Balestra, Marco Stefano Caccianiga, Bruno E.L. Cerabolini, Duccio Tampucci, Gianalberto Losapio. ;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Stage;Species;Habitat creation and maintenance ;Pollination;Air quality ;Climate Regulation;Water supply ;Soil ;Natural Hazards ;Pest and Disease ;Nutrient Regulation;Energy;Food; Feed;Raw Materials;Med., biochem. and gen. resources;Ornamental Resources;Scientific learning and inspiration;Physical and psychological experiences;Supporting identities
;Alchemilla pentaphyllea;1;1;1;;;1;1;0;1;0;1;0;0;0;0;0;0;1
;Antennaria dioica;1;0;1;;;1;0;-1;1;0;0;1;0;1;1;1;0;1
;Cerastium alpinum;1;1;1;;;1;0;0;0;0;0;0;0;1;0;1;1;0
;Cirsium spinosissimum;1;1;1;;;1;0;-1;1;0;1;0;0;1;0;1;0;0
;Deschampsia caespitosa;1;0;1;;;1;0;1;1;0;0;0;0;1;1;1;0;0
;Epilobium angustifolium;1;1;1;;;1;0;-1;1;0;1;1;0;1;1;1;0;1
;Epilobium fleischeri;1;1;1;;;1;0;-1;1;0;1;0;0;1;0;1;1;1
;Erigeron alpinus;1;1;1;;;1;0;-1;1;0;0;1;0;1;1;0;0;0
;Gentiana nivalis;1;1;1;;;0;0;-1;1;0;1;0;0;1;0;1;1;1
;Gentiana verna;1;1;1;;;1;0;0;1;0;1;0;0;1;1;1;1;1
;Geum montanum;1;1;1;;;1;0;-1;1;0;1;0;0;1;1;1;0;1
;Hieracium staticifolium;1;1;1;;;1;0;0;1;0;0;0;0;1;0;0;1;1
;Juncus jacquinii;1;0;1;;;1;0;0;1;0;0;0;0;1;0;0;0;0
;Juniperus nana;1;0;1;;;1;1;-1;1;0;1;0;0;1;1;1;0;1
;Luzula sudetica;1;0;1;;;1;0;0;1;0;0;0;0;1;0;1;0;0
;Minuartia recurva;1;1;1;;;1;0;0;0;0;0;0;0;1;0;0;1;0
;Minuartia verna;1;1;1;;;1;0;0;0;0;0;0;0;1;0;1;1;0
;Myosotis alpestris;1;1;1;;;1;0;1;1;0;0;0;0;1;1;1;1;1
;Phleum rhaeticum;1;0;1;;;1;0;-1;1;0;0;1;0;1;0;1;0;0
;Salix foetida;1;0;1;;;1;1;-1;1;0;0;0;1;1;0;0;0;0
;Sempervivum arachnoideum;1;1;1;;;1;0;-1;0;0;0;0;0;1;1;1;1;1
;Sempervivum montanum;1;1;1;;;1;0;0;1;0;0;0;0;1;1;1;1;1
;Silene rupestris;1;1;1;;;1;0;0;1;0;0;0;0;0;0;1;0;0
;Trifolium alpinum;1;1;1;;;1;0;-1;1;0;1;1;0;1;1;1;0;1
;Trifolium badium;1;1;1;;;1;0;-1;1;0;1;1;0;1;0;0;0;1
;Trifolium pallescens;1;1;1;;;1;0;-1;1;0;0;1;0;1;0;1;0;0
;Trifolium thalii;1;1;1;;;1;0;0;1;0;0;1;0;1;0;1;0;0
;Trisetum spicatum;1;0;1;;;1;0;0;1;0;0;0;0;0;0;1;0;0
;Tussilago farfara;1;1;1;;;0;0;1;1;0;1;1;0;1;1;1;1;1
;Veronica bellidioides;1;1;1;;;1;0;-1;1;0;0;0;0;0;0;1;0;0
;Veronica fruticans;1;1;1;;;1;0;0;1;0;0;0;0;0;0;0;1;0
